Analytical
5375601153	5375601153	4467620740

Baseline
5564909634	5564909634	4656929221

Reconfigurable
0 ms	5674273938	5674273938	4766293525
0 ms	5674040957	5674040957	4766060544
10 ms	5750912335	5750912335	4842931922
10 ms	5704058217	5704058217	4796077804
50 ms	6150912335	6150912335	5242931922
50 ms	5872597866	5872597866	4964617453
100 ms	6650912335	6650912335	5742931922
100 ms	6172597866	6172597866	5264617453
250 ms	8150912335	8150912335	7242931922
250 ms	7072597866	7072597866	6164617453
500 ms	10650912335	10650912335	9742931922
500 ms	8572597866	8572597866	7664617453
750 ms	13150912335	13150912335	12242931922
750 ms	10985938585	10985938585	10077958172
1 s	15650912335	15650912335	14742931922
1 s	13485938585	13485938585	12577958172
2 s	25650912335	25650912335	24742931922
2 s	23485938585	23485938585	22577958172
3 s	35650912335	35650912335	34742931922
3 s	33485938585	33485938585	32577958172
