Analytical
2697453530	2697453530	2339744236

Baseline
2729632324	2729632324	2371923030

Reconfigurable
0 ms	2765798200	2765799115	2408089821
0 ms	2765440461	2765441376	2407732082
10 ms	2854361791	2854362706	2496653412
10 ms	2795437321	2795438236	2437728942
50 ms	3254361791	3254362706	2896653412
50 ms	3016815286	3016816201	2659106907
100 ms	3754361791	3754362706	3396653412
100 ms	3316815286	3316816201	2959106907
250 ms	5254361791	5254362706	4896653412
250 ms	4216815286	4216816201	3859106907
500 ms	7754361791	7754362706	7396653412
500 ms	6610535688	6610536603	6252827309
750 ms	10254361791	10254362706	9896653412
750 ms	9110535688	9110536603	8752827309
1 s	12754361791	12754362706	12396653412
1 s	11610535688	11610536603	11252827309
