Analytical
2684351673	2684351673	2326642379

Baseline
2724957490	2724957490	2367248196

Reconfigurable
0 ms	2704521873	2704522788	2346813494
0 ms	2704156071	2704156986	2346447692
10 ms	2791114527	2791115442	2433406148
10 ms	2734160992	2734161907	2376452613
50 ms	3191114527	3191115442	2833406148
50 ms	2955538957	2955539872	2597830578
100 ms	3691114527	3691115442	3333406148
100 ms	3255538957	3255539872	2897830578
250 ms	5191114527	5191115442	4833406148
250 ms	4155538957	4155539872	3797830578
500 ms	7691114527	7691115442	7333406148
500 ms	6547288423	6547289338	6189580044
750 ms	10191114527	10191115442	9833406148
750 ms	9047288423	9047289338	8689580044
1 s	12691114527	12691115442	12333406148
1 s	11547288423	11547289338	11189580044
