model,shape,size,svc_ns
bw,1x1x4,4,1741460872
bw,1x1x8,8,1900598088
bw,1x2x2,4,1115421728
bw,1x2x4,8,1155437728
bw,1x2x8,16,1235469728
bw,1x4x1,4,711045641
bw,1x4x2,8,721053641
bw,1x4x4,16,741069641
bw,1x8x1,8,550798080
bw,1x8x2,16,555806080
bw,1x8x8,64,585854080
bw,2x1x2,4,833885664
bw,2x1x4,8,873006880
bw,2x1x8,16,952591488
bw,2x2x1,4,551396208
bw,2x2x2,8,561404208
bw,2x2x4,16,581420208
bw,2x4x1,8,359465140
bw,2x4x2,16,364473140
bw,2x4x8,64,394521140
bw,2x8x1,16,280628874
bw,2x8x4,64,288152874
bw,2x8x8,128,298184874
bw,4x1x1,4,416229400
bw,4x1x2,8,424314400
bw,4x1x4,16,444330400
bw,4x2x1,8,280581252
bw,4x2x2,16,285589252
bw,4x2x8,64,315637252
bw,4x4x1,16,183264493
bw,4x4x4,64,190788493
bw,4x4x8,128,200820493
bw,4x8x2,64,147158654
bw,4x8x4,128,149674654
bw,4x8x8,256,154706654
bw,8x1x1,8,228639036
bw,8x1x2,16,246500704
bw,8x1x8,64,252484188
bw,8x2x1,16,147408482
bw,8x2x4,64,154932482
bw,8x2x8,128,164867075
bw,8x4x2,64,100445574
bw,8x4x4,128,102961574
bw,8x4x8,256,107942498
bw,8x8x1,64,79166818
bw,8x8x2,128,79799818
bw,8x8x4,256,81065818
lat,1x1x4,4,407050
lat,1x1x8,8,581294
lat,1x2x2,4,1295799
lat,1x2x4,8,1350855
lat,1x2x8,16,1460967
lat,1x4x1,4,2507659
lat,1x4x2,8,2525419
lat,1x4x4,16,2560939
lat,1x8x1,8,5188038
lat,1x8x2,16,5199102
lat,1x8x8,64,5265486
lat,2x1x2,4,1683760
lat,2x1x4,8,1687058
lat,2x1x8,16,682972
lat,2x2x1,4,1611311
lat,2x2x2,8,1661055
lat,2x2x4,16,1656782
lat,2x4x1,8,2455117
lat,2x4x2,16,2467997
lat,2x4x8,64,2545277
lat,2x8x1,16,5104880
lat,2x8x4,64,5130530
lat,2x8x8,128,5164730
lat,4x1x1,4,2547016
lat,4x1x2,8,2465962
lat,4x1x4,16,2422902
lat,4x2x1,8,2201143
lat,4x2x2,16,2098019
lat,4x2x8,64,1534657
lat,4x4x1,16,2551560
lat,4x4x4,64,2570279
lat,4x4x8,128,2525561
lat,4x8x2,64,5073911
lat,4x8x4,128,5088483
lat,4x8x8,256,5117627
lat,8x1x1,8,3464480
lat,8x1x2,16,3303928
lat,8x1x8,64,735692
lat,8x2x1,16,2950584
lat,8x2x4,64,2763390
lat,8x2x8,128,1770768
lat,8x4x2,64,3166729
lat,8x4x4,128,3178260
lat,8x4x8,256,2759728
lat,8x8x1,64,5164791
lat,8x8x2,128,5171451
lat,8x8x4,256,5184771
