cell,rho_target,mean_ia_ns,work_npu_ns,unit_span
bw_heavy_large,0.85,41545015.876445,7582635177024,419.384471000
bw_light_large,0.15,235421756.633187,7582635177024,419.384471000
bw_heavy_small,0.85,10800421.013909,1822489723800,387.735456000
bw_light_small,0.15,61202385.745482,1822489723800,387.735456000
lat_heavy_large,0.85,856966.834027,156410263040,419.384471000
lat_light_large,0.15,4856145.392819,156410263040,419.384471000
lat_heavy_small,0.85,38251.382137,6454632720,387.735456000
lat_light_small,0.15,216757.832111,6454632720,387.735456000
lat_heavy_small,0.85,46810.121351,,
